tcp        0      1 127.0.0.1:54486         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54488         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54490         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54492         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54494         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54496         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54498         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54500         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54502         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54504         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54506         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54508         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54510         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54512         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54514         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54516         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54518         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54520         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54522         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54524         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54526         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54528         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54530         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54532         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54534         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54536         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54538         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54540         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54542         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54544         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54546         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54548         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54550         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54552         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54554         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54556         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54558         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54560         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54562         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54564         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54566         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54568         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54570         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54572         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54574         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54576         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54578         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54580         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54582         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54584         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54586         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54588         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54590         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54592         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54594         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54596         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54598         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54600         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54602         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54604         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54606         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54608         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54610         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54611         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54614         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54616         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54618         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54620         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54622         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54624         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54626         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54628         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54630         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54632         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54634         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54636         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54638         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54640         127.0.0.1:12344         SYN_SENT   
